,Title,Published_date,Views,Likes,Comments,Month
0,AI: A Customer Service Revolution?,2023-05-26,2698,94,24,May
1,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16,11875,506,52,May
2,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04,21308,951,63,May
3,This AI question will determine our future,2023-04-06,3964,254,37,Apr
4,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03,69303,782,77,Apr
5,Your current portfolio is actually hurting you #shorts,2023-03-30,4352,243,2,Mar
6,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27,4636,249,3,Mar
7,you're job searching wrong. #shorts,2023-03-23,3294,199,3,Mar
8,The Economics of Data Roles #shorts,2023-03-21,5229,337,5,Mar
9,Why your phone knows everything you say #shorts,2023-03-18,2470,114,7,Mar
10,Read these for a successful career. #shorts,2023-03-16,2537,207,2,Mar
11,Is Your Phone Actually Listening to You? #shorts,2023-03-09,2267,44,5,Mar
12,How I Realized I Was a Bad Manager #shorts,2023-03-07,2407,114,1,Mar
13,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03,18190,697,53,Mar
14,Why I Quit Data Science... and then crawled back #shorts,2023-03-01,5965,202,8,Mar
15,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27,2235,148,2,Feb
16,Learning On the companies dime #shorts,2023-02-24,2820,161,1,Feb
17,The Best Way to Transition to Data Science? #shorts,2023-02-21,3389,228,6,Feb
18,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17,5293,310,6,Feb
19,Don't Go into Data for the Money #shorts,2023-02-15,3460,209,12,Feb
20,So you're doing your first data science project...,2023-02-13,5036,304,22,Feb
21,How to Approach Applying for a Data Role #shorts,2023-02-08,3524,235,7,Feb
22,The Hard Reality of Data Science Work #shorts,2023-02-06,9300,600,9,Feb
23,How Much Money Does a Data Scientist Make? #shorts,2023-02-03,4065,166,6,Feb
24,These 3 Things Make Data Science Special #shorts,2023-02-01,3892,295,6,Feb
25,Will Data Science Be Automated? #shorts,2023-01-27,6644,323,7,Jan
26,Is Data Science A Good Fit For You? #shorts,2023-01-25,4670,272,9,Jan
27,5 Books I Wish I Read Earlier In My Career,2023-01-23,8532,486,49,Jan
28,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19,4170,430,10,Jan
29,What Data Science Tool Would I Learn First? #shorts,2023-01-17,6075,453,10,Jan
30,How long does it take to become a Data Scientist? #shorts,2023-01-12,5003,406,6,Jan
31,Where & how to start your Data Science Journey #shorts,2023-01-09,6351,391,2,Jan
32,How I Would NOT Learn Data Science in 2023.,2023-01-03,113789,3812,238,Jan
33,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14,4679,195,28,Dec
34,The Essential Programming Concepts For Learning Data Science,2022-11-14,19499,824,46,Nov
35,The Data Content House: What You Missed,2022-10-07,10265,344,50,Oct
36,Is Data Science A Good Career?,2022-09-29,56055,1801,130,Sep
37,IRON ANALYST (Teaser) #shorts,2022-09-27,5540,359,24,Sep
38,When a New Data Scientist Joins The Team,2022-08-29,16128,739,133,Aug
39,State of Data Science - Web Data,2022-08-05,10387,359,34,Aug
40,Data Science Town Hall - State of Data Science,2022-08-04,9917,378,38,Aug
41,The Programming Roadmap For Data Science,2022-07-29,25782,1252,64,Jul
42,5 Impactful Data Science Projects For Your Portfolio,2022-06-27,62380,2530,91,Jun
43,Machine Learning Saves My Baseball Career?,2022-06-10,7405,336,68,Jun
44,Every Data Scientist... (funny!),2022-05-24,16063,840,146,May
45,State of Data Science (Town Hall) ft - Data Squad,2022-05-07,15949,431,65,May
46,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,50702,1366,86,Apr
47,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,20049,849,109,Mar
48,Data Scientists VS NFT Scam,2022-03-03,4562,189,51,Mar
49,When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,2022-02-21,10963,509,144,Feb
50,What Professional Data Scientists ACTUALLY Do,2022-02-14,92085,3208,185,Feb
51,Can You Analyze My Data Better Than I Can?,2022-01-31,7057,320,62,Jan
52,Giving Back to My Most Engaged Subscribers!,2022-01-28,2310,119,89,Jan
53,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,24040,776,107,Jan
54,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,8756,422,85,Jan
55,Should  @LukeBarousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,8422,250,33,Jan
56,The Only Data Science Explanation You Need,2022-01-10,48719,2086,170,Jan
57,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,14341,644,144,Jan
58,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,334779,14801,535,Dec
59,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,10660,397,66,Dec
60,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,7925,565,25,Dec
61,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03,24201,1172,147,Dec
62,Why Is Data Engineering So HOT Right Now?,2021-11-26,29156,1091,141,Nov
63,Is Data Science Dying?,2021-11-19,119132,3769,360,Nov
64,7 Incredible Books That Transformed My Health and My Life,2021-11-12,7983,389,112,Nov
65,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3617,203,48,Nov
66,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,12151,279,39,Oct
67,ML Ops: What is it REALLY?,2021-10-22,6365,275,65,Oct
68,Business Skills for Data Science: What are they REALLY?,2021-10-18,6668,298,50,Oct
69,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12,2202,123,5,Oct
70,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,5834,278,64,Oct
71,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,12667,530,112,Aug
72,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,10061,428,32,Aug
73,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,40170,1559,30,Aug
74,How I Learned to Learn.,2021-07-31,50502,2349,209,Jul
75,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,10181,573,50,Jul
76,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2374,93,30,Jul
77,Why are APIs Important for Data Science?,2021-07-09,9544,447,95,Jul
78,Is Your Phone REALLY Listening to You?,2021-07-03,5143,278,116,Jul
79,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,14247,579,121,Jun
80,#66DaysOfData - 3 Reasons to Start!,2021-06-18,4071,225,41,Jun
81,#66DaysOfData - What is it? #shorts,2021-06-11,8900,383,54,Jun
82,A Quick Data Science Project Tip! #SHORTS,2021-06-03,16457,1005,89,Jun
83,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7407,392,195,May
84,How Data Science Projects Pay Off,2021-05-22,10475,591,146,May
85,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10472,485,134,May
86,What is a lambda function (python)? #shorts,2021-05-13,14695,914,49,May
87,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,26370,1414,59,May
88,What is Pandas? (Data & Data Science) #shorts,2021-04-30,22842,1161,87,Apr
89,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,75871,3389,281,Apr
90,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,23322,688,85,Apr
91,Why You Probably Won't Become a Data Scientist,2021-04-09,136152,3997,480,Apr
92,How to Go From Data Analyst to Data Scientist,2021-04-02,52604,1507,173,Apr
93,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,3953,138,92,Mar
94,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,18108,350,108,Mar
95,My Regrets as a Data Science Student,2021-03-12,23749,877,112,Mar
96,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3815,196,83,Mar
97,What is the Future of my Comment Leaderboard Project?,2021-02-26,5550,201,81,Feb
98,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,6565,173,51,Feb
99,Why I Quit Data Science,2021-02-12,104328,2341,348,Feb
100,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,10560,548,116,Jan
